manufacturerId,modelId,brand,category,marketStatus,researchClass,sizes,conduitTypes,hasNumericFacts
mfr-ideal,model-ideal-74-001,"IDEAL",hand,active,chart_candidate,1/2,EMT,1
mfr-ideal,model-ideal-74-002,"IDEAL",hand,active,chart_candidate,3/4,EMT,1
mfr-ideal,model-ideal-74-003,"IDEAL",hand,active,reference_only,1,EMT,1
mfr-ideal,model-ideal-74-034,"IDEAL",hand,unknown,conflict_review,1-1/4,EMT,1
mfr-milwaukee,model-milwaukee-48-22-4070,"Milwaukee",hand,active,reference_only,1/2,EMT,0
mfr-milwaukee,model-milwaukee-48-22-4071,"Milwaukee",hand,active,reference_only,3/4,EMT,0
mfr-milwaukee,model-milwaukee-48-22-4072,"Milwaukee",hand,active,reference_only,1,EMT,0
mfr-milwaukee,model-milwaukee-48-22-4080,"Milwaukee",hand,active,reference_only,1/2,EMT,0
mfr-milwaukee,model-milwaukee-48-22-4081,"Milwaukee",hand,active,reference_only,3/4,EMT,0
mfr-milwaukee,model-milwaukee-48-22-4082,"Milwaukee",hand,active,reference_only,1,EMT,0
mfr-southwire,model-southwire-mcb1-2,"Southwire",hand,active,reference_only,1/2,EMT,0
mfr-southwire,model-southwire-mcb3-4,"Southwire",hand,active,reference_only,3/4,EMT,0
mfr-southwire,model-southwire-mcb1,"Southwire",hand,active,reference_only,1,EMT,0
mfr-rack-a-tiers,model-rack-hoppy,"Rack-A-Tiers",hand,active,reference_only,1/2|3/4,EMT,0
mfr-rack-a-tiers,model-rack-skybender,"Rack-A-Tiers",mechanical,active,reference_only,1/2|3/4|1,EMT|aluminum_rigid,0
mfr-greenlee,model-greenlee-555c,"Greenlee",electric,active,identity_verified,1/2|3/4|1|1-1/4|1-1/2|2,EMT|IMC|RMC,0
mfr-greenlee,model-greenlee-shoe-23803,"Greenlee",shoe,active,conflict_review,1/2|3/4|1|1-1/4|1-1/2|2,EMT,24
mfr-gardner-bender,model-gardner-b2555,"Gardner Bender",electric,active,chart_candidate,1/2|3/4|1|1-1/4|1-1/2|2,EMT|IMC|RMC,0
mfr-gardner-bender,model-gardner-bemt-52,"Gardner Bender",shoe,active,chart_candidate,1/2|3/4|1|1-1/4|1-1/2|2,EMT,12
mfr-current-tools,model-current-254,"Current Tools",hydraulic,active,chart_candidate,2-1/2|3|3-1/2|4,EMT|IMC|RMC,0
mfr-current-tools,model-current-254-111,"Current Tools",shoe,active,identity_verified,2-1/2,EMT|IMC|RMC,3
mfr-current-tools,model-current-254-118,"Current Tools",shoe,active,identity_verified,3,EMT|IMC|RMC,3
mfr-current-tools,model-current-254-125,"Current Tools",shoe,active,identity_verified,3-1/2,EMT|IMC|RMC,3
mfr-current-tools,model-current-254-132,"Current Tools",shoe,active,identity_verified,4,EMT|IMC|RMC,3
mfr-current-tools,model-current-753,"Current Tools",mechanical,active,identity_verified,1/2|3/4|1|1-1/4,EMT|IMC|RMC,0
mfr-current-tools,model-current-750,"Current Tools",mechanical,active,reference_only,1/2|3/4|1,IMC|RMC,0
mfr-current-tools,model-current-77,"Current Tools",electric,active,identity_verified,1/2|3/4|1|1-1/4|1-1/2|2,EMT|IMC|RMC,0
mfr-greenlee,model-greenlee-881,"Greenlee",hydraulic,active,identity_verified,2-1/2|3|3-1/2|4,EMT|IMC|RMC,0
mfr-greenlee,model-greenlee-31274,"Greenlee",shoe,active,chart_candidate,4,EMT|IMC|RMC,1
mfr-greenlee,model-greenlee-27554,"Greenlee",shoe,unknown,reference_only,2-1/2,EMT|IMC|RMC,1
mfr-greenlee,model-greenlee-27555,"Greenlee",shoe,unknown,reference_only,3,EMT|IMC|RMC,1
mfr-greenlee,model-greenlee-31281,"Greenlee",shoe,unknown,reference_only,3-1/2,EMT|IMC|RMC,1
mfr-greenlee,model-greenlee-885,"Greenlee",hydraulic,legacy-common,reference_only,1/2|3/4|1|1-1/4|1-1/2|2|2-1/2|3|3-1/2|4|5,RMC,0
mfr-ridgid,model-ridgid-e666,"RIDGID",electric,unknown,blocked_source,1/2|3/4|1|1-1/4|1-1/2|2,EMT|IMC|RMC,0
mfr-benfield,model-benfield-method-reference,"Benfield",unknown,legacy-common,reference_only,,EMT,0
mfr-emerson-chicago,model-chicago-ratchet-legacy,"Chicago / Emerson legacy",mechanical,legacy-common,reference_only,,EMT|RMC,0
mfr-klein,model-klein-51611,"Klein Tools",accessory,active,identity_verified,1/2,EMT,0
mfr-klein,model-klein-51612,"Klein Tools",accessory,active,identity_verified,3/4,EMT,0
mfr-klein,model-klein-51613,"Klein Tools",accessory,active,identity_verified,1,EMT,0
mfr-klein,model-klein-51427,"Klein Tools",accessory,active,identity_verified,1/2|3/4,EMT,0
mfr-ideal,model-ideal-74-019,"IDEAL",accessory,active,identity_verified,,EMT,0
mfr-ideal,model-ideal-74-020,"IDEAL",accessory,active,identity_verified,,EMT,0
mfr-ideal,model-ideal-74-021,"IDEAL",accessory,active,identity_verified,,EMT,0
mfr-ideal,model-ideal-74-006,"IDEAL",hand,unknown,conflict_review,1-1/4,EMT,0
mfr-gardner-bender,model-gardner-920,"Gardner Bender",hand,legacy-common,reference_only,1/2,EMT,0
mfr-gardner-bender,model-gardner-921,"Gardner Bender",hand,legacy-common,reference_only,3/4,EMT,0
mfr-gardner-bender,model-gardner-922,"Gardner Bender",hand,legacy-common,reference_only,1,EMT,0
mfr-gardner-bender,model-gardner-923,"Gardner Bender",hand,legacy-common,reference_only,1-1/4,EMT,0
mfr-gardner-bender,model-gardner-930b,"Gardner Bender",hand,legacy-common,reference_only,1/2,EMT,0
mfr-gardner-bender,model-gardner-931b,"Gardner Bender",hand,legacy-common,reference_only,3/4,EMT,0
mfr-gardner-bender,model-gardner-932,"Gardner Bender",hand,legacy-common,reference_only,1,EMT,0
mfr-greenlee,model-greenlee-13934,"Greenlee",shoe,unknown,reference_only,1/2|3/4|1|1-1/4|1-1/2|2,EMT,0
mfr-greenlee,model-greenlee-28008,"Greenlee",shoe,active,identity_verified,1/2|3/4|1|1-1/4|1-1/2|2,RMC|IMC,0
mfr-greenlee,model-greenlee-855gx,"Greenlee",electric,active,reference_only,1|1-1/4|1-1/2|2,EMT|IMC|RMC,0
mfr-greenlee,model-greenlee-880,"Greenlee",hydraulic,legacy-common,reference_only,1|1-1/4|1-1/2|2,RMC,0
mfr-current-tools,model-current-700e,"Current Tools",shoe,active,identity_verified,1/2|3/4|1|1-1/4|1-1/2|2,EMT,0
mfr-nsi,model-nsi-cb50,"NSI",hand,unknown,reference_only,1/2,EMT,0
mfr-nsi,model-nsi-cb75,"NSI",hand,unknown,reference_only,3/4,EMT,0
mfr-nsi,model-nsi-cb100,"NSI",hand,unknown,reference_only,1,EMT,0
mfr-greenlee,model-greenlee-1800,"Greenlee",mechanical,active,identity_verified,1/2|3/4|1,IMC|RMC,0
mfr-greenlee,model-greenlee-1801,"Greenlee",mechanical,active,identity_verified,1-1/4|1-1/2,IMC|RMC,0
mfr-greenlee,model-greenlee-854dx,"Greenlee",electric,active,identity_verified,,EMT|IMC|RMC,0
mfr-ideal,model-ideal-74-046,"IDEAL",hand,active,identity_verified,1/2,EMT,0
mfr-ideal,model-ideal-74-047,"IDEAL",hand,active,identity_verified,3/4,EMT,0
mfr-ideal,model-ideal-74-026,"IDEAL",hand,active,identity_verified,1/2,EMT,0
mfr-ideal,model-ideal-74-027,"IDEAL",hand,active,identity_verified,3/4,EMT,0
mfr-ideal,model-ideal-74-028,"IDEAL",hand,active,identity_verified,1,EMT,0
mfr-gardner-bender,model-gardner-b1000,"Gardner Bender",mechanical,active,identity_verified,,EMT|IMC|RMC,0
mfr-greenlee,model-greenlee-94811g,"Greenlee",shoe,active,identity_verified,,EMT|IMC|RMC,0
mfr-greenlee,model-greenlee-94812g,"Greenlee",shoe,active,identity_verified,,EMT|IMC|RMC,0
mfr-greenlee,model-greenlee-94813g,"Greenlee",shoe,active,identity_verified,,EMT|IMC|RMC,0
mfr-greenlee,model-greenlee-94814g,"Greenlee",shoe,active,identity_verified,,EMT|IMC|RMC,0
